KOD	BENÄMNING	POANG
FPL228	Planering II, detaljplaneprocessen                                                                                      	7.5
FPL231	Stadsbyggnadshistoria III                                                                                               	9
FPL303	Planering III, del 3                                                                                                    	6
FPL304	Landskapsplanering                                                                                                      	6
FPL320	Planering III                                                                                                           	24
FPL321	Planeringsteori I                                                                                                       	3
FPL322	Trafikteknik                                                                                                            	9
FPL323	Planeringsekonomi                                                                                                       	9
FPL324	Planeringsekonomi                                                                                                       	3
FPL325	Planering III                                                                                                           	15
FPL326	Planering III, stort valbart projekt                                                                                    	15
FPL327	Planeringsteori I                                                                                                       	3
FPL328	Planering III, regional planering                                                                                       	7.5
FPL329	Planering III, landskapsplanering                                                                                       	7.5
FPL330	Kunskapsteori och utredningsmetodik                                                                                     	7.5
FPL331	Planeringsekonomi                                                                                                       	4.5
FPL351	Planering III                                                                                                           	6
FPL408	Planering III-IV                                                                                                        	12
FPL420	Planering IV, Större projekt                                                                                            	12
FPL421	Planeringsteori II                                                                                                      	3
FPL422	Planering IV, Projekt i stor stad                                                                                       	15
FPL423	Planeringsteori II                                                                                                      	3
FPL424	Planering IV, stort valbart projekt                                                                                     	15
FPL425	Planeringsteori II                                                                                                      	3
FPR120	Planerings- och resurshushållning                                                                                       	4.5
FRE100	Redovisning och Form I, ritteknik och perspektiv                                                                        	3
FRE101	Redovisning och form I:3, Datorstödd presentation                                                                       	3
FRE120	Redovisning och Form I                                                                                                  	12
FRE121	Redovisning och Form I                                                                                                  	12
FRE122	Geografiska informationssystem                                                                                          	3
FRE220	Redovisning och Form II                                                                                                 	12
FRE221	Redovisning o, form II, datorstödd ritning o, modellering                                                               	3
FRE222	Redovisning och Form II                                                                                                 	12
FRE223	Redovisning och Form II                                                                                                 	9
FRE304	Redovisning och form III, del 4                                                                                         	3
FRE320	Redovisning och Form III                                                                                                	12
FRE321	Redovisning och Form III                                                                                                	3
FRE322	Redovisning och Form III                                                                                                	6
FRE323	Redovisning och Form III                                                                                                	4.5
FRE324	Redovisning och Form III, teckning/målning                                                                              	3
FRE325	Redovisning och Form III, muntlig kommunikation                                                                         	3
FRE326	Redovisning och Form IV                                                                                                 	3
FRE404	Redovisning och Form III-IV                                                                                             	6
FRE420	Redovisning och Form IV                                                                                                 	6
FRE421	Redovisning och Form IV                                                                                                 	4.5
FSB128	Stadsbyggnadshistoria I                                                                                                 	1.5
FSB129	Stadsbyggnadshistoria II                                                                                                	1.5
FSB130	Stadsbyggnadshistoria, Människa och miljö II                                                                            	4.5
FSB230	Stadsbyggnadshistoria III                                                                                               	9
FSR201	Förskrivningsrätt                                                                                                       	15
FSR301	Förskrivningsrätt av vissa läkemedel                                                                                    	15
FSU120	Statistik och undersökningsmetodik                                                                                      	4.5
FTF101	Teknisk försörjning                                                                                                     	3
FTF102	Teknisk försörjning, Geoteknik                                                                                          	4.5
FTF322	Teknisk förvaltningsmetodik                                                                                             	7.5
FTY126	Hydromekanik                                                                                                            	3
FUF101	Funktionshindrades fritid  - Pedagogik med IT-stöd                                                                      	30
FUM120	Undersökningsmetodik                                                                                                    	1.5
FUR423	Utredningsmetodik                                                                                                       	4.5
FUR434	Utredningsmetodik                                                                                                       	1.5
FUT110	Urbanteori                                                                                                              	7.5
FUT111	Urbanteori                                                                                                              	9
FVA233	Vatten- och avloppsteknik                                                                                               	4.5
FVA234	Vattenbyggnad                                                                                                           	7.5
FVG234	Anläggningsteknik, Väg- och gatuteknik                                                                                  	6.8
FVG235	Anläggningsteknik, Väg- och gatuteknik                                                                                  	7.5
FVM101	VETENSKAPSTEORI OCH VETENSKAPLIG METODIK I                                                                              	7.5
FY1101	Fysik 1                                                                                                                 	19.5
FY1102	Fysik för dig som inte tror du kan förstå fysik                                                                         	7.5
FY1103	Tillämpad realtidsfysik                                                                                                 	7.5
FY1104	Vågfysik                                                                                                                	7.5
FY1105	Fysik för produktutveckling                                                                                             	7.5
FY1106	Vågfysik                                                                                                                	7.5
FY1107	Miljöfysik för alla                                                                                                     	5
FYA001	Fysik 1                                                                                                                 	30
FYA002	Fysik                                                                                                                   	7.5
FYA003	Fysik, fortsättningskurs                                                                                                	7.5
FYA004	Fysik för D                                                                                                             	7.5
FYA005	Vågfysik                                                                                                                	7.5
FYA006	Fysik 1                                                                                                                 	19.5
FYA007	Fysik för tekniker                                                                                                      	7.5
FYA008	Fysik för tekniker, fortsättningskurs                                                                                   	7.5
FYA009	Fysik för Produktutveckling                                                                                             	7.5
FYA010	Fysik för dig som inte tror du kan förstå fysik                                                                         	7.5
FYA011	Tillämpad realtidsfysik                                                                                                 	7.5
FYSX40	Examensarbete                                                                                                           	30
FYX001	Fysik                                                                                                                   	19.5
FYX002	Fysik                                                                                                                   	15
FYX400	Examensarbete                                                                                                           	15
GBL101	Global hälsa I                                                                                                          	7.5
GBL201	Global hälsa II                                                                                                         	7.5
GIA001	Geoinformatik                                                                                                           	7.5
GIB001	Geoinformatik (GIS)                                                                                                     	7.5
GIC001	Geografisk analys och statistik                                                                                         	7.5
GPE101	Hälsa i genderperspektiv I                                                                                              	7.5
GPE201	Hälsa i genderperspektiv II                                                                                             	7.5
GVA001	Teknisk försörjning, Geoteknik                                                                                          	4.5
HA1101	Beskattningsrätt 1                                                                                                      	15
HA1102	Förvaltningsrätt                                                                                                        	7.5
HA1103	Kommersiell IT-juridik                                                                                                  	7.5
HA1104	Juridik och IT-säkerhet                                                                                                 	7.5
HA1105	Juridisk Översiktskurs                                                                                                  	15
HA1106	Socialrätt                                                                                                              	15
HA1107	Kommersiell IT-juridik                                                                                                  	7.5
HA1108	Europarättslig grundkurs                                                                                                	7.5
HA1109	Allmän Handelsrätt                                                                                                      	15
HA1110	Immaterialrätt och affärsstrategier                                                                                     	7.5
HA1111	Juridik i offentligrättslig miljö                                                                                       	15
HA1112	Kommersiell IT-juridik                                                                                                  	7.5
HAA001	Allmän handelsrätt                                                                                                      	15
HAA002	Beskattningsrätt                                                                                                        	15
HAA003	IT-juridik                                                                                                              	7.5
HAA004	Förvaltningsrätt                                                                                                        	7.5
HAA005	Konkurrensrätt med marknadsrätt och IT-rätt                                                                             	15
HAA006	Juridisk översiktskurs                                                                                                  	15
HAA007	IT-rätt                                                                                                                 	15
HAA008	Beskattningsrätt II                                                                                                     	15
HAA009	Allmän Handelsrätt                                                                                                      	15
HAA010	Förvaltningsrätt                                                                                                        	7.5
HAA011	Juridik och IT-säkerhet                                                                                                 	7.5
HAA012	Socialrätt                                                                                                              	15
HAA013	Socialrätt och grundläggande offentligrätt                                                                              	12
HAA014	Grundläggande arbetsrätt                                                                                                	4.5
HAB001	Beskattningsrätt II                                                                                                     	15
HBA001	Humanbiologi                                                                                                            	7.5
HBU100	Barn- och ungdomslitteratur, allmän kurs, 1-5 poäng                                                                     	7.5
HDA100	IT i svenska och moderna språk                                                                                          	4.5
HDA101	Datorkunskap för humanister                                                                                             	15
HDA110	IT för humanister                                                                                                       	15
HEG104	EG-rätt                                                                                                                 	6
HEG105	EU-rätt                                                                                                                 	7.5
HEK101	Grundläggande företagsekonomi                                                                                           	7.5
HEK102	Budgetering och affärsredovisning                                                                                       	7.5
HEK103	Kalkylering och internredovisning                                                                                       	7.5
HEK104	Marknadsföring                                                                                                          	7.5
HEK105	Elementär makroteori , MAKRO I                                                                                          	7.5
HEK106	Konjunkturpolitik, MAKRO II                                                                                             	7.5
HEK107	Elementär mikroteori, MIKRO I                                                                                           	7.5
HEK108	Resursfördeln, problem, MIKRO II                                                                                        	7.5
HEK109	Folkhälsovetenskap/etik lagar                                                                                           	7.5
HEK110	Kommunal ekonomi                                                                                                        	7.5
HEK111	Statistik I                                                                                                             	7.5
HEK112	Hälsoekonomi                                                                                                            	7.5
HEK113	Organisationsteori                                                                                                      	7.5
HEK114	Hälsoekonomisk informatik-sjukvårdsek, informatik                                                                       	15
HEK115	Statistik II                                                                                                            	7.5
HEK116	Projektarbete                                                                                                           	7.5
HEK117	Förvaltningsrätt                                                                                                        	7.5
HEK118	Ekonomi och styrning i hälso- och sjukvården, del I                                                                     	15
HEK119	Ekonomi och styrning I hälso- och sjukvården, del II                                                                    	15
HEK120	Kandidatuppsats                                                                                                         	15
HEK201	Grundläggande fek, tentamen                                                                                             	7.5
HEK202	Obligatorisk uppgift                                                                                                    	0
HEK203	Budget- och affärsredovisning del 1                                                                                     	4.5
HEK204	Budget- och affärsredovisning del 2                                                                                     	3
HEK205	Kalkylering och internredovisning                                                                                       	6
HEK206	Obligatorisk uppgift                                                                                                    	1.5
HEK207	Marknadsföring, tentamen                                                                                                	6
HEK208	Inlämningsuppgift                                                                                                       	1.5
HEK301	Grundläggande företagsekonomi                                                                                           	7.5
HEK302	Obligatorisk uppgift                                                                                                    	0
HEK303	Budgetering och kalkylering                                                                                             	7.5
HEK304	Obligatorisk uppgift                                                                                                    	0
HEK305	Extern- och internredovisning, tentamen 1                                                                               	3.8
HEK306	Extern- och internredovisning, tentamen 2                                                                               	3.8
HEK307	Marknadsföring                                                                                                          	6
HEK308	Inlämningsuppgift                                                                                                       	1.5
HEN027	Engelska, 3 poäng                                                                                                       	4.5
HEN100	Engelska Textkurs,Bloody Murder                                                                                         	3
HEN101	Engelsk Textkurs, Top Secret                                                                                            	4.5
HEN102	Teknisk engelska                                                                                                        	3
HEN103	Engelska, teknisk inriktning                                                                                            	4.5
HEN104	Engelska för Fysisk planering                                                                                           	6
HEN105	Engelska för arbetslivet, 1-5 poäng                                                                                     	7.5
HEN106	Tillämpad engelska, 1-5 poäng                                                                                           	7.5
HEN107	Engelska för Fysisk planering                                                                                           	7.5
HEN108	Tillämpad engelska, 6-10 poäng                                                                                          	7.5
HEN109	Australia                                                                                                               	7.5
HEN110	Engelska för arbetslivet, 6-10 poäng                                                                                    	7.5
HEN111	Engelsk textkurs: Science Fiction                                                                                       	7.5
HEN112	Engelska för Internationell ADB                                                                                         	15
HEN113	British Life and Culture                                                                                              	7.5
HEN114	Engelska i tiden                                                                                                        	7.5
HEN115	Engelska, 1-10 poäng                                                                                                    	15
HEN116	Tillämpad engelska, militär inriktning                                                                                  	7.5
HEN117	New Horizons, Engelskspråkig litteratur världen runt                                                                    	7.5
HEN118	New Frontiers: American Culture since 1960 in Literature & Film                                                         	7.5
HEN119	Engelska för Internationell ADB, 1-5 poäng                                                                              	7.5
HEN120	Engelska, allmän kurs, 1-20 poäng                                                                                       	30
HEN121	Engelska, allmän kurs, 1-20 poäng                                                                                       	30
HEN122	Tillämpad engelska, 11-20 poäng                                                                                         	15
HEN123	Engelska praktisk/samhällsvetenskaplig inriktning I                                                                     	30
HEN124	Engelska, allmän kurs, 1-20 poäng                                                                                       	30
HEN125	Engelska praktisk/samhällsvetenskaplig inriktning I                                                                     	30
HEN126	Engelska för Internationell ADB, 6-10 poäng                                                                             	7.5
HEN127	Informationsarkitektur & el, publicering i praktiken                                                                    	15
HEN128	Engelska för internationell ADB, 6-10                                                                                   	7.5
HEN129	Moderna noveller på engelska                                                                                            	7.5
HEN130	Moderna Noveller på Engelska, 1-5 poäng                                                                                 	7.5
HEN200	Engelska, allmän kurs, 21-40 poäng                                                                                      	30
HEN204	Språkhistoria, inom kursen Engelska 21-40 poäng                                                                         	6
HEN220	Engelska, allmän kurs, 21-40 poäng                                                                                      	30
HEN221	Engelska, allmän kurs, 21-40 poäng                                                                                      	30
HEN222	Engelska, praktisk/samhällsvetenskaplig inriktning, 21-40p                                                              	30
HEN223	Engelska, allmän kurs, 21-40 poäng                                                                                      	30
HEN228	Översättning från engelska                                                                                              	15
HEN420	Engelska, allmän kurs, 41-60 poäng                                                                                      	30
HEN421	Engelska, litterär inriktning, 41-60 poäng                                                                              	30
HEN422	Engelska, specialarbete (inom 41-60p)                                                                                   	15
HEN423	Engelska, litterär inriktning, 41-60 poäng                                                                              	30
HEN510	Engelska, Litterär inriktning                                                                                           	15
HEN620	Engelska, litterär inriktning, 61-80 poäng                                                                              	30
HEN621	Engelska, Specialarbete (inom 61-80p)                                                                                   	15
HEN622	Engelska, litterär inriktning, 61-80 poäng                                                                              	30
HEU120	Europakunskap, 1-20 poäng                                                                                               	30
HEU121	Europakunskap, 1-20 poäng                                                                                               	30
HEU122	Europakunskap, Ekonomisk inriktning, 1-20 poäng                                                                         	30
HEU123	Europakunskap, Historisk inriktning, 1-20 poäng                                                                         	30
HEU140	Europakunskap, 1-40 poäng                                                                                               	60
HEU220	Europakunskap, 21-40 poäng                                                                                              	30
HFA101	HÄLSOBEFRÄMJANDE OCH FÖREBYGGANDE ARBETE I                                                                              	7.5
HFR110	Franska                                                                                                                 	15
HHI101	Europas historia                                                                                                        	30
HHI105	Arbetarhistoria                                                                                                         	7.5
HHI106	Historia underifrån                                                                                                     	7.5
HHI107	Sveriges politiska historia genom fyra sekler                                                                           	7.5
HHI108	Östersjön-konflikt och samarbete                                                                                        	15
HHI110	1500-talets historia, 1-10 poäng                                                                                        	15
HHI120	Historia, 1-20 poäng                                                                                                    	30
HHI140	Historia, 1-40 poäng                                                                                                    	60
HHI220	Historia, 21-40 poäng                                                                                                   	30
HHI221	Historia, 21-40 poäng                                                                                                   	30
HHI420	Historia, 41-60 poäng                                                                                                   	30
HHI620	Historia, allmän kurs, 61-80 poäng                                                                                      	30
HHI621	Historia, magisterkurs, 61-80 poäng                                                                                     	30
HHI630	Historia, uppsatskurs (inom 61-80 poäng)                                                                                	15
HI1101	Häxan, Djävulen och Ondskan                                                                                             	7.5
HI1102	Teknikhistoria                                                                                                          	3
HI1103	Teknikhistoria                                                                                                          	7.5
HI1104	Teknikhistoria och Samhällsutveckling                                                                                   	7.5
HIA001	Historia, allmän kurs, 1-20 poäng                                                                                       	30
HIA002	Historia specialkurs, Europas historia                                                                                  	30
HIA003	Östersjön-konflikt och samarbete                                                                                        	15
HIA004	Teknikhistoria                                                                                                          	3
HIA005	Teknik, ekonomi och entreprenörskap - igår, idag och imorgon                                                            	7.5
HIA006	Historia, allmän kurs, 1-20 poäng                                                                                       	30
HIA007	Teknikhistoria                                                                                                          	3
HIA008	Historia, Häxan, djävulen och ondskan                                                                                   	7.5
HIA009	Historia, allmän kurs 1-20p                                                                                             	30
HIA010	Historia, allmän kurs, 1-20 poäng                                                                                       	30
HIA011	Östersjöområdet och Ryssland: konflikt och samarbete                                                                    	7.5
HIA012	Tekniksamhället under 5000 år                                                                                           	7.5
HIA013	Teknikhistoria och samhällsutveckling                                                                                   	7.5
HIB001	Historia, allmän kurs, 21-40 poäng                                                                                      	30
HIB002	Historia, allmän kurs, 21-40 poäng                                                                                      	30
HIB003	Historia, allmän kurs, 21-40 poäng                                                                                      	30
HIC001	Historia, allmän kurs, 41-60 poäng                                                                                      	30
HIC002	Historia, allmän kurs                                                                                                   	30
HIC003	Historia, allmän kurs, 41-60 poäng                                                                                      	30
HIC004	Historia, allmän kurs, 41-60 poäng                                                                                      	30
HIC005	Historia, Häxan, djävulen och ondskan 41-45 poäng                                                                       	7.5
HID001	Historia, allmän kurs, 61-80 poäng                                                                                      	30
HID002	Historia, magisterkurs, 61-80 poäng                                                                                     	30
HID003	Historia, uppsatskurs                                                                                                   	15
HID004	Historia, allmän kurs 61-80p                                                                                            	30
HID005	Historia, magisterarbete                                                                                                	15
HID006	Historia, magisterkurs 61-80p                                                                                           	30
HID007	Historia, allmän kurs, 61-80 poäng                                                                                      	30
HID008	Historia, magisterarbete 10 poäng                                                                                       	15
HID009	Historia, magisterkurs, 61-80 poäng                                                                                     	30
HID010	Historia, Häxan, djävulen och ondskan, 61-65 poäng                                                                      	7.5
HIX001	Teknikhistoria                                                                                                          	3
HKB101	Kompetensutveckling för biståndsbedömare                                                                                	7.5
HKO010	Kommunikation                                                                                                           	7.5
HKO105	Kommunikation                                                                                                           	7.5
HKO106	Kommunikation                                                                                                           	7.5
HKO107	Tillämpad engelska för Telekommunikation, 1-5 poäng                                                                     	7.5
HLE105	Ledarskap till sjöss och lands, i fantasi och verklighet                                                                	7.5
HLI101	Bibeln som litteratur - bibeln i litteraturen                                                                           	7.5
HLI102	Litteraturvetenskap, barn-, ungdoms-och populärlitteratur                                                               	15
HLI103	Barn-ungdoms- och populärlitteraturen                                                                                   	15
HLI104	Barn- och ungdomslitteratur 1-5                                                                                         	7.5
HLI105	Litteraturvetenskap, Harry Martinsson, 1-10 poäng                                                                       	15
HLI106	Litteraturvetenskap, 1-5 poäng                                                                                          	7.5
HLI107	Harry Martinson - berättare, poet, tänkare                                                                              	7.5
HLI108	Litteraturvetenskap, alt, grundkurs                                                                                     	30
HLI120	Litteraturvetenskap, allm kurs 1-20 poäng                                                                               	30
HLI121	Litteraturvetenskap, allmän kurs, 1-20 poäng                                                                            	30
HLI220	Litteraturvetenskap, allmän kurs, 21-40 poäng                                                                           	30
HLI221	Litteraturvetenskap, allmän kurs, 21-40 poäng                                                                           	30
HLI300	Kortprosa och kortprosastrategier                                                                                       	7.5
HLI420	Litteraturvetenskap, 41-60 poäng                                                                                        	30
HLI620	Litteraturvetenskap, 61-80 poäng                                                                                        	30
HPE100	Att fördjupa den pedagogiska kompetensen                                                                                	7.5
HPE101	Nätbaserad undervisning                                                                                                 	7.5
HPE102	Pedagogik 1-20                                                                                                          	30
HPE103	Högskolepedagogik                                                                                                       	7.5
HPE200	Fortsättningskurs i Pedagogik, allmän kurs, 21-40 poäng                                                                 	30
HPE300	Pedagogik 41-60                                                                                                         	30
HPH101	Hälsoproblem och hälsorisker I                                                                                          	7.5
HPS100	Psykologi, allmän ämnesintroduktion                                                                                     	7.5
HPS101	Arbetsgruppens psykologi                                                                                                	7.5
HPS102	Kognitionspsykologi                                                                                                     	7.5
HPS103	Personlighetspsykologi                                                                                                  	7.5
HPS104	Arbetspsykologi                                                                                                         	7.5
HPS120	Psykologi, allmän kurs, 1-20 poäng                                                                                      	30
HPS220	Psykologi, utvecklingspsykologi                                                                                         	15
HPS221	Psykologi, personlighetspsykologi                                                                                       	15
HPS300	Psykologi, psykologisk forskningsmetodik                                                                                	30
HPU101	IKT-pedagogik för förskolan/grundskolan                                                                                 	7.5
HPU110	Pedagogik, allmän kurs, 1-10 poäng                                                                                      	15
HPU405	Gymnasieläraren i skolverksamheten                                                                                      	7.5
HPU406	Gymnasieelevers villkor och utveckling i samh o, skola                                                                  	7.5
HPU410	Lärandet och lärandets förutsättningar                                                                                  	15
HRE140	Relionsvetenskap                                                                                                        	60
HRY100	Ryska, introduktionskurs, 1-10 poäng                                                                                    	15
HRY110	Ryska, allmän kurs, 1-10 poäng                                                                                          	15
HRY120	Ryska, allmän kurs, 11-20 poäng                                                                                         	15
HSO120	Sociologi, allmän kurs, 1-20 poäng                                                                                      	30
HSO220	Sociologi, allmän kurs, 21-40 poäng                                                                                     	30
HSO221	Sociologi, allmän kurs 21-40                                                                                            	30
HSV002	Svenska                                                                                                                 	6
HSV003	Svenska                                                                                                                 	4.5
HSV004	Svenska                                                                                                                 	7.5
HSV005	Mitt i mångfalden                                                                                                       	7.5
HSV006	Med andra ord                                                                                                           	7.5
HSV007	Svenska för utländska studenter                                                                                         	7.5
HSV026	Svenska                                                                                                                 	3
HSV028	Svenska                                                                                                                 	4.5
HSV107	Svenska för utländska studenter                                                                                         	7.5
HSV108	Lär dig tala                                                                                                            	7.5
HSV109	Lär dig skriva!                                                                                                         	7.5
HSV120	Svenska, 1-20 poäng                                                                                                     	30
HSV121	Svenska, 1-20 poäng                                                                                                     	30
HSV122	Svenska, 1-20 poäng                                                                                                     	30
HSV130	Informationsteknik                                                                                                      	7.5
HSV131	Språklig kommunikation, 1-5 poäng                                                                                       	7.5
HSV132	Informationsteknik                                                                                                      	7.5
HSV133	Språklig kommunikation, 1-5 poäng                                                                                       	7.5
HSV220	Svenska, 21-40 poäng                                                                                                    	30
HSV221	Svenska, 21-40 poäng                                                                                                    	30
